path,label,source,split
data/raw/droneaudioset/drone_000018.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000113.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000078.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000052.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000146.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000044.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000149.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000141.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000136.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000074.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000038.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000011.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000042.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000147.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000002.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000013.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000049.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000158.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000033.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000043.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000109.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000036.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000134.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000000.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000017.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000064.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000105.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000162.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000019.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000030.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000099.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000117.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000150.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000101.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000135.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000072.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000003.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000115.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000061.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000032.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000053.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000014.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000132.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000060.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000094.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000063.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000102.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000083.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000054.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000127.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000131.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000092.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000121.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000066.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000016.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000089.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000075.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000167.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000096.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000144.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000025.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000148.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000112.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000065.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000069.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000027.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000145.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000076.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000051.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000140.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000004.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000100.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000154.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000041.wav,1,droneaudioset,train
data/raw/droneaudioset/drone_000166.wav,1,droneaudioset,train
